Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
300,process_0,0,3,3
300,process_0,0,1,1
300,process_1,1,2,1
300,process_1,1,10,9
300,process_2,2,7,5
300,process_2,2,10,8
300,process_3,3,12,9
300,process_3,3,9,6
300,process_4,4,5,1
300,process_4,4,8,4
300,process_5,5,8,3
300,process_5,5,7,2
300,process_6,6,15,9
300,process_6,6,11,5
300,process_7,7,11,4
300,process_7,7,15,8
300,process_8,8,11,3
300,process_8,8,12,4
300,process_9,9,15,6
300,process_9,9,16,7
300,process_10,10,16,6
300,process_10,10,17,7
300,process_11,11,13,2
300,process_11,11,15,4
300,process_12,12,18,6
300,process_12,12,21,9
300,process_13,13,14,1
300,process_13,13,18,5
300,process_14,14,18,4
300,process_14,14,23,9
300,process_15,15,23,8
300,process_15,15,21,6
300,process_16,16,21,5
300,process_16,16,20,4
300,process_17,17,22,5
300,process_17,17,22,5
300,process_18,18,20,2
300,process_18,18,22,4
300,process_19,19,28,9
300,process_19,19,27,8
300,process_20,20,21,1
300,process_20,20,26,6
300,process_21,21,30,9
300,process_21,21,23,2
300,process_22,22,31,9
300,process_22,22,30,8
300,process_23,23,25,2
300,process_23,23,25,2
300,process_24,24,25,1
300,process_24,24,32,8
300,process_25,25,27,2
300,process_25,25,29,4
300,process_26,26,30,4
300,process_26,26,35,9
300,process_27,27,31,4
300,process_27,27,32,5
300,process_28,28,34,6
300,process_28,28,29,1
300,process_29,29,36,7
300,process_29,29,33,4
300,process_30,30,36,6
300,process_30,30,31,1
300,process_31,31,33,2
300,process_31,31,34,3
300,process_32,32,39,7
300,process_32,32,41,9
300,process_33,33,35,2
300,process_33,33,39,6
300,process_34,34,38,4
300,process_34,34,38,4
300,process_35,35,43,8
300,process_35,35,43,8
300,process_36,36,39,3
300,process_36,36,38,2
300,process_37,37,39,2
300,process_37,37,39,2
300,process_38,38,42,4
300,process_38,38,47,9
300,process_39,39,47,8
300,process_39,39,48,9
300,process_40,40,43,3
300,process_40,40,46,6
300,process_41,41,44,3
300,process_41,41,46,5
300,process_42,42,45,3
300,process_42,42,47,5
300,process_43,43,45,2
300,process_43,43,44,1
300,process_44,44,46,2
300,process_44,44,53,9
300,process_45,45,53,8
300,process_45,45,47,2
300,process_46,46,51,5
300,process_46,46,53,7
300,process_47,47,51,4
300,process_47,47,54,7
300,process_48,48,49,1
300,process_48,48,56,8
300,process_49,49,55,6
300,process_49,49,58,9
300,process_50,50,54,4
300,process_50,50,54,4
300,process_51,51,55,4
300,process_51,51,52,1
300,process_52,52,57,5
300,process_52,52,61,9
300,process_53,53,61,8
300,process_53,53,56,3
300,process_54,54,59,5
300,process_54,54,60,6
300,process_55,55,58,3
300,process_55,55,62,7
300,process_56,56,60,4
300,process_56,56,64,8
300,process_57,57,66,9
300,process_57,57,62,5
300,process_58,58,65,7
300,process_58,58,64,6
300,process_59,59,64,5
300,process_59,59,60,1
300,process_60,60,69,9
300,process_60,60,67,7
300,process_61,61,70,9
300,process_61,61,66,5
300,process_62,62,63,1
300,process_62,62,65,3
300,process_63,63,66,3
300,process_63,63,72,9
300,process_64,64,72,8
300,process_64,64,66,2
300,process_65,65,74,9
300,process_65,65,69,4
300,process_66,66,71,5
300,process_66,66,75,9
300,process_67,67,76,9
300,process_67,67,74,7
300,process_68,68,76,8
300,process_68,68,72,4
300,process_69,69,76,7
300,process_69,69,78,9
300,process_70,70,77,7
300,process_70,70,74,4
300,process_71,71,75,4
300,process_71,71,77,6
300,process_72,72,75,3
300,process_72,72,81,9
300,process_73,73,75,2
300,process_73,73,76,3
300,process_74,74,77,3
300,process_74,74,83,9
300,process_75,75,81,6
300,process_75,75,84,9
300,process_76,76,83,7
300,process_76,76,81,5
300,process_77,77,84,7
300,process_77,77,80,3
300,process_78,78,84,6
300,process_78,78,85,7
300,process_79,79,88,9
300,process_79,79,82,3
300,process_80,80,85,5
300,process_80,80,81,1
300,process_81,81,88,7
300,process_81,81,90,9
300,process_82,82,83,1
300,process_82,82,87,5
300,process_83,83,84,1
300,process_83,83,91,8
300,process_84,84,86,2
300,process_84,84,92,8
300,process_85,85,89,4
300,process_85,85,92,7
