Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
50,process_0,0,9,9
50,process_0,0,6,6
50,process_1,1,8,7
50,process_1,1,9,8
50,process_2,2,10,8
50,process_2,2,3,1
50,process_3,3,8,5
50,process_3,3,6,3
50,process_4,4,7,3
50,process_4,4,9,5
50,process_5,5,10,5
50,process_5,5,6,1
50,process_6,6,13,7
50,process_6,6,15,9
50,process_7,7,8,1
50,process_7,7,8,1
50,process_8,8,15,7
50,process_8,8,11,3
50,process_9,9,17,8
50,process_9,9,11,2
50,process_10,10,18,8
50,process_10,10,17,7
50,process_11,11,19,8
50,process_11,11,17,6
50,process_12,12,15,3
50,process_12,12,15,3
50,process_13,13,15,2
50,process_13,13,21,8
50,process_14,14,23,9
50,process_14,14,16,2
50,process_15,15,18,3
50,process_15,15,16,1
50,process_16,16,23,7
50,process_16,16,21,5
50,process_17,17,25,8
50,process_17,17,23,6
50,process_18,18,24,6
50,process_18,18,21,3
50,process_19,19,28,9
50,process_19,19,20,1
50,process_20,20,23,3
50,process_20,20,23,3
50,process_21,21,22,1
50,process_21,21,22,1
50,process_22,22,31,9
50,process_22,22,25,3
50,process_23,23,28,5
50,process_23,23,29,6
50,process_24,24,25,1
50,process_24,24,25,1
