Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
100,process_0,0,4,4
100,process_1,3,4,1
100,process_2,6,15,9
100,process_3,9,17,8
100,process_4,12,16,4
100,process_5,15,24,9
100,process_6,18,26,8
100,process_7,21,23,2
100,process_8,24,26,2
100,process_9,27,33,6
100,process_10,30,33,3
100,process_11,33,39,6
100,process_12,36,43,7
100,process_13,39,47,8
100,process_14,42,43,1
100,process_15,45,53,8
100,process_16,48,54,6
100,process_17,51,60,9
100,process_18,54,55,1
100,process_19,57,60,3
100,process_20,60,61,1
100,process_21,63,65,2
100,process_22,66,74,8
100,process_23,69,78,9
100,process_24,72,77,5
100,process_25,75,79,4
100,process_26,78,85,7
100,process_27,81,89,8
100,process_28,84,88,4
100,process_29,87,91,4
100,process_30,90,97,7
100,process_31,93,96,3
100,process_32,96,98,2
100,process_33,99,106,7
100,process_34,102,105,3
100,process_35,105,112,7
100,process_36,108,117,9
100,process_37,111,117,6
100,process_38,114,122,8
100,process_39,117,124,7
100,process_40,120,129,9
100,process_41,123,132,9
100,process_42,126,135,9
100,process_43,129,135,6
100,process_44,132,136,4
100,process_45,135,139,4
100,process_46,138,139,1
100,process_47,141,147,6
100,process_48,144,151,7
100,process_49,147,156,9
100,process_50,150,156,6
100,process_51,153,157,4
100,process_52,156,157,1
100,process_53,159,166,7
100,process_54,162,170,8
100,process_55,165,172,7
100,process_56,168,175,7
100,process_57,171,172,1
100,process_58,174,177,3
100,process_59,177,184,7
100,process_60,180,186,6
100,process_61,183,188,5
100,process_62,186,192,6
100,process_63,189,192,3
100,process_64,192,201,9
100,process_65,195,197,2
100,process_66,198,205,7
100,process_67,201,206,5
100,process_68,204,208,4
100,process_69,207,208,1
100,process_70,210,219,9
100,process_71,213,214,1
100,process_72,216,218,2
100,process_73,219,222,3
100,process_74,222,229,7
100,process_75,225,230,5
100,process_76,228,229,1
100,process_77,231,233,2
100,process_78,234,243,9
100,process_79,237,244,7
100,process_80,240,249,9
100,process_81,243,247,4
100,process_82,246,253,7
100,process_83,249,258,9
100,process_84,252,256,4
100,process_85,255,261,6
100,process_86,258,261,3
100,process_87,261,268,7
100,process_88,264,269,5
100,process_89,267,274,7
100,process_90,270,273,3
100,process_91,273,280,7
100,process_92,276,278,2
100,process_93,279,283,4
100,process_94,282,291,9
100,process_95,285,288,3
100,process_96,288,294,6
100,process_97,291,296,5
100,process_98,294,301,7
100,process_99,297,306,9
